team_id,team_name,country
6629,Deathtrap,Turkey
6810,aimclub,Europe
4472,ASES,Spain
7290,CANADA,Canada
7310,"Guerilla Method",Serbia
7050,Mongolia,Mongolia
7059,X,Denmark
4586,Ubinited,"United States"
6512,GANK,China
6158,"Dire Wolves",Australia
4584,"Druidz fe",Sweden
5839,"sAw's team",Finland
4984,"Astana Dragons",Ukraine
7326,"k1ck oldschool",Portugal
6202,Peru,Peru
4431,"Area 51","United States"
6789,BigGods,Brazil
4607,"Western Wolves",Sweden
6685,Ancient,Sweden
6665,Astralis,Denmark
6523,SHAAVEJI,Latvia
4858,oXzone,Denmark
7262,dd,Belgium
6671,Optimum,Denmark
5342,97club,Belarus
4770,GF-Gaming,Poland
7007,"jA'Vi",Portugal
7169,"fnatic Academy",Sweden
6499,WRTP,Europe
4977,DeNova,Latvia
6294,Aperture,"South Africa"
6571,UMass,"United States"
7058,Unity,Denmark
4991,fnatic,Sweden
4547,Anexis,Denmark
6102,WMTF,Turkey
6168,1337,Sweden
6248,TheMongolz,Mongolia
4775,"Western Wolves",Denmark
6856,Krydsild,Denmark
6344,MIXCAT,Finland
4811,"Millenium fe",France
6331,"Reap What You Sow","United States"
6334,"Games Academy",Brazil
5106,Turkey,Turkey
5435,gBots,Spain
6574,ex-USSR,Poland
6046,TRICKED,Hungary
5599,Dobry&Gaming,Poland
7251,5FRAGS,Russia
6210,Chile,Chile
6195,QeeYou,China
4497,mTw,Other
5926,Clutchit.org,Norway
5929,"Space Soldiers",Turkey
5941,"Queen Consolidated",France
5817,GPlay,Bulgaria
4674,LDLC,Europe
7077,Parallax,"New Zealand"
6310,Japan,Japan
6226,E-frag.net,Bulgaria
5274,AGAiN,Poland
6620,AlienTech,Brazil
5231,iBUYPOWER,"United States"
5996,TSM,Canada
6524,EZmarket.org,Denmark
6675,PixelFire,Europe
6421,Secret,Vietnam
4978,GUNRUNNERS,Slovakia
4971,embrace,Sweden
6474,"MVP project",Korea
5261,Recursive,France
5841,"juho's team",Finland
5829,fRactals,Algeria
6326,"VERY T0X1C",Poland
5028,LGB,Sweden
5415,Awsomniac,France
6575,Phoenix,Germany
6428,"Roca's compLexity","United States"
5487,Hashtag,Ukraine
5171,"Death.Energy ",Germany
6205,Brazil,Brazil
6134,Kinguin,Poland
6615,OpTic,"North America"
6035,Atlantis,Spain
6400,TES,Italy
5745,Games4u,Sweden
5752,Cloud9,"United States"
5144,Ukraine,Ukraine
7029,AC-130,China
7320,"Zeta Strike",Chile
4555,Virtus.pro,Russia
6959,MK,Bulgaria
4465,mousesports,"United Kingdom"
6292,Conquest,Canada
7170,onestop,Australia
4647,Quantic,"United States"
6710,"Bee's Money Crew","United States"
5107,Belarus,Belarus
5271,"über G33KZ",Denmark
6245,eBettle,Poland
6278,Egypt,Egypt
5991,EnVyUs,France
7168,Crowns,Sweden
